entity_id,classkind,code,blockid,chapterno
,category,1A7Z,,1
251474152,block,,BlockL2-1A8,1
1090786293,category,1A80,,1
900285196,category,1A81,,1
806511043,category,1A81.0,,1
1431940183,category,1A81.1,,1
,category,1A81.Y,,1
,category,1A81.Z,,1
,category,1A8Y,,1
,category,1A8Z,,1
1357024926,category,1A90,,1
764124124,category,1A91,,1
1220564554,category,1A92,,1
1372745524,category,1A93,,1
616315615,category,1A94,,1
666746193,category,1A94.0,,1
1123446981,category,1A94.1,,1
,category,1A94.Z,,1
641342831,category,1A95,,1
1987223744,category,1A95.0,,1
144526718,category,1A95.1,,1
158514824,category,1A95.2,,1
1370512518,category,1F2J.1,,1
1229440796,category,1F2J.2,,1
984175752,category,1F2J.3,,1
,category,1F2J.Y,,1
,category,1F2J.Z,,1
646368820,category,1F2K,,1
1357848258,category,1F2L,,1
210760879,category,1F2L.0,,1
1111587867,category,1F2L.1,,1
,category,1F2L.Y,,1
,category,1F2L.Z,,1
,category,1F2Y,,1
,category,1F2Z,,1
255141529,block,,BlockL1-1F4,1
1439886552,block,,BlockL2-1F4,1
579583286,category,1F40,,1
1143114898,category,1F40.0,,1
,category,1F40.Y,,1
,category,1F40.Z,,1
1203794080,category,1F41,,1
1490699283,category,1F41.0,,1
,category,1F41.Y,,1
,category,1F41.Z,,1
862789727,category,1F42,,1
1499325485,category,1F42.0,,1
,category,1F42.Y,,1
,category,1F42.Z,,1
1168452782,category,1F43,,1
1260563068,category,1F44,,1
633896543,category,1F45,,1
,category,1F4Z,,1
817691561,block,,BlockL2-1F5,1
289875029,category,1F50,,1
875488052,category,1F51,,1
1671640403,category,1F51.0,,1
1842725899,category,1F51.00,,1
,category,1F51.0Y,,1
,category,1F51.0Z,,1
115931335,category,1F51.1,,1
1630119630,category,1F51.10,,1
,category,1F51.1Y,,1
,category,1F51.1Z,,1
,category,1F51.Y,,1
,category,1F51.Z,,1
1947003329,category,1F52,,1
1365585570,category,1F53,,1
437268550,category,1F53.1,,1
1857904825,category,1F53.2,,1
200715565,category,1F53.3,,1
1279577094,category,1F53.4,,1
,category,1F53.Y,,1
,category,1F53.Z,,1
1082373067,category,1F54,,1
1646564717,category,1F54.0,,1
124737785,category,1F54.1,,1
1942095878,category,1F54.2,,1
,category,1F54.Z,,1
1709864108,category,1F55,,1
1150206155,category,1F56,,1
738999268,category,1F57,,1
1419043836,category,1F57.0,,1
540652293,category,1F57.1,,1
1165131409,category,1F57.2,,1
836709998,category,1F57.3,,1
,category,1F57.Y,,1
,category,1F57.Z,,1
1021483422,category,1F58,,1
,category,1F5Z,,1
1786908147,block,,BlockL2-1F6,1
574051646,block,,BlockL3-1F6,1
1768378720,category,1F60,,1
1884500763,category,1F60.0,,1
53173615,category,1F60.1,,1
,category,1F60.Y,,1
,category,1F60.Z,,1
,category,2D12.Z,,2
,category,2D1Z,,2
,category,2D3Y,,2
,category,2D3Z,,2
1594217552,block,,BlockL2-2D4,2
1979211198,category,2D40,,2
1467715547,category,2D41,,2
2023965817,category,2D42,,2
440437263,category,2D43,,2
,category,2D4Y,,2
,category,2D4Z,,2
1917052637,block,,BlockL2-2D5,2
577085257,category,2D50,,2
15093038,category,2D51,,2
800171581,category,2D52,,2
501778925,block,,BlockL3-2D6,2
863766301,category,2D60,,2
995482988,category,2D60.0,,2
1579028734,category,2D60.1,,2
716390401,category,2D60.2,,2
1341689237,category,2D60.3,,2
1008082433,category,2D60.4,,2
1499321237,category,2D60.5,,2
,category,2D60.Y,,2
,category,2D60.Z,,2
902978494,category,2D61,,2
,category,2D6Z,,2
1619106991,block,,BlockL3-2D7,2
1976635094,category,2D70,,2
278577988,category,2D71,,2
1681363901,category,2D72,,2
24927785,category,2D73,,2
,category,2D7Y,,2
,category,2D7Z,,2
111033337,block,,BlockL3-2D8,2
104832322,category,2D80,,2
162810284,category,2D80.0,,2
1970090130,category,2D80.1,,2
247646132,category,2D81,,2
56902085,category,2D82,,2
1291436720,category,2D83,,2
1922223549,category,2D84,,2
